"4795","9.9/15 CV","500329",,,,"SUZUKI","OUTBOARD_ENGINES","(Poss. 2T pre-’95 o mix; verificare. Meglio 500319?)"
"4796","9.9/8 CV","500319",,,,"SUZUKI","OUTBOARD_ENGINES","<<-1995 (OK per 2T/4T piccoli, ma vedi remark in col.6)"
"4797","90/115 HP","500367",,,"4 STROKES/4 TEMPI","SUZUKI","OUTBOARD_ENGINES","(Generico: DF90/DF115 ~2001–06; vedi remark in col.6)"
"4798","DF4","500336",,,,"SUZUKI","OUTBOARD_ENGINES","2004–2010 (OK, girante 4–6 HP: #500336 ≈ 17461-985M0)"
"4799","DF6","500336",,,,"SUZUKI","OUTBOARD_ENGINES","2004–2010 (OK, idem come DF4/5/6: #500336)"
"4800","DF8AR","500319",,,,"SUZUKI","OUTBOARD_ENGINES","2010 (Effettivo: DF8A usa stessa girante di DF9.9A: #500319)"
"4801","DF9.9","500319",,,,"SUZUKI","OUTBOARD_ENGINES","2004–2010 (OK se parliamo di 4T carb. ~2004–05 o 2ª gen. fino al 2013)"
"4802","DF15","500319",,,,"SUZUKI","OUTBOARD_ENGINES","2004–2010 (stessa girante 9.9–15 4T, #500319, vedi remark col.6)"
"4803","DF46","500336",,,,"SUZUKI","OUTBOARD_ENGINES","2003–2008 (Probabile refuso: DF4/6, stessa girante 985M0. Verificare.)"
"4804","DF60/DF70","500365",,,"4 STROKES/4 TEMPI","SUZUKI","OUTBOARD_ENGINES","1998–2009 (OK, #500365 ≈ 17461-87E12, 1ª gen. 4T)"
"4805","DF90","500367",,,,"SUZUKI","OUTBOARD_ENGINES","2001–2008 (4T ~90HP 1ª gen.; #500367 = eccesso di modelli, vedi remark col.6)"
"4806","DF99","500319",,,,"SUZUKI","OUTBOARD_ENGINES","2004–2010 (Probabile DF9.9 4T; #500319 girante 9.9/15 HP, vedi linee 4801/4802)"
"4807","DF100","500367",,,,"SUZUKI","OUTBOARD_ENGINES","2009 (DF100 1ª serie ~2007–09, girante simile DF90/115, #500367. Verificare Lean Burn.)"
"4808","DF115","500367",,,,"SUZUKI","OUTBOARD_ENGINES","2002–2010 (4T, girante 17461-90J02 in OEM. #500367 unisce 2T/4T, vedi col.6)"
"4809","DF140","500367",,,,"SUZUKI","OUTBOARD_ENGINES","2002–2010 (idem DF115: 17461-90J02 in OEM; #500367 generico.)"
