Id,Applications,Cef,NBR Version,Kit,Remarks,Manufacturer,Tipologia Appplicazione,Applications_note
"113","PUMP/POMPA 10630","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"114","PUMP/POMPA 10630-01","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"115","PUMP/POMPA 10630-07","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"116","PUMP/POMPA 10630-200","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"117","PUMP/POMPA 10630-207","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"118","PUMP/POMPA 10630-57","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"119","PUMP/POMPA 10650","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"120","PUMP/POMPA 10650-200","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"121","PUMP/POMPA 10660","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"122","PUMP/POMPA 10660-200","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"123","PUMP/POMPA 10670","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"124","PUMP/POMPA 10670-01","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"125","PUMP/POMPA 10670-10","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"126","PUMP/POMPA 10670-11","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"127","PUMP/POMPA 10670-200","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"128","PUMP/POMPA 10670-201","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"129","PUMP/POMPA 10670-210","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"130","PUMP/POMPA 10670-211","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"131","PUMP/POMPA 10680","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"132","PUMP/POMPA 10680-01","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"133","PUMP/POMPA 10680-10","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"134","PUMP/POMPA 10680-11","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"135","PUMP/POMPA 10680-200","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"136","PUMP/POMPA 10680-201","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"137","PUMP/POMPA 10680-210","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"138","PUMP/POMPA 10680-211","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"139","PUMP/POMPA 10770-0051","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"140","PUMP/POMPA 10770-0111","500135T","500235T",,,"JABSCO","INBOARD_ENGINES",
"141","PUMP/POMPA 10770-0151","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"142","PUMP/POMPA 10770-0331","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"143","PUMP/POMPA 10770-0351","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"144","PUMP/POMPA 10770-0531","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"145","PUMP/POMPA 10770-07","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"146","PUMP/POMPA 10770-57","500105GT","500205GT",,,"JABSCO","INBOARD_ENGINES",
"147","PUMP/POMPA 10770-62","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"148","PUMP/POMPA 10800-21","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"149","PUMP/POMPA 10880-0051","500135T","500235T",,,"JABSCO","INBOARD_ENGINES",
"150","PUMP/POMPA 10880-0101","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"151","PUMP/POMPA 10880-0151","500135T","500235T",,,"JABSCO","INBOARD_ENGINES",
"152","PUMP/POMPA 10880-07","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"153","PUMP/POMPA 10880-21","500105GT","500205GT",,,"JABSCO","INBOARD_ENGINES",
"154","PUMP/POMPA 10880-2461","500135T","500235T",,,"JABSCO","INBOARD_ENGINES",
"155","PUMP/POMPA 10880-2561","500135T","500235T",,,"JABSCO","INBOARD_ENGINES",
"156","PUMP/POMPA 10880-2611","500135T","500235T",,,"JABSCO","INBOARD_ENGINES",
"157","PUMP/POMPA 10880-62","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"158","PUMP/POMPA 10890-01","500105GT","500205GT","RK0002",,"JABSCO","INBOARD_ENGINES",
"159","PUMP/POMPA 10950-200","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"160","PUMP/POMPA 10950-201","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"161","PUMP/POMPA 10950-204","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"162","PUMP/POMPA 10950-205","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"163","PUMP/POMPA 10950-2101","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"164","PUMP/POMPA 10950-2141","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"165","PUMP/POMPA 10950-2201","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"166","PUMP/POMPA 10950-2241","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"167","PUMP/POMPA 10950-2401","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"168","PUMP/POMPA 10950-2441","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"169","PUMP/POMPA 10950-2451","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"170","PUMP/POMPA 10950-2601","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"171","PUMP/POMPA 10950-2701","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"172","PUMP/POMPA 10970","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"173","PUMP/POMPA 10970-21","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"174","PUMP/POMPA 10980-0051","500135T","500235T",,,"JABSCO","INBOARD_ENGINES",
"175","PUMP/POMPA 11000","500116GX","500216GX","RK0006",,"JABSCO","INBOARD_ENGINES",
"176","PUMP/POMPA 11000-01","500116GX","500216GX","RK0006",,"JABSCO","INBOARD_ENGINES",
"177","PUMP/POMPA 11100-01-01","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"178","PUMP/POMPA 11100-31","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"179","PUMP/POMPA 11110-0141","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"180","PUMP/POMPA 11110-0151","500145GT",,,,"JABSCO","INBOARD_ENGINES",
"181","PUMP/POMPA 11110-0541","500145GT",,,,"JABSCO","INBOARD_ENGINES",
"182","PUMP/POMPA 11120-200","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"183","PUMP/POMPA 11120-204","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"184","PUMP/POMPA 11120-205","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"185","PUMP/POMPA 11150-0011","500145GT",,,,"JABSCO","INBOARD_ENGINES",
"186","PUMP/POMPA 11260-200","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"187","PUMP/POMPA 11260-205","500100GX","500200GX","RK0001",,"JABSCO","INBOARD_ENGINES",
"188","PUMP/POMPA 11260-2101","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"189","PUMP/POMPA 11260-211","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"190","PUMP/POMPA 11260-2151","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"191","PUMP/POMPA 11260-2211","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
